ActorName;Gender;"Actor's default image source"
Alan Ladd;m;"https://m.media-amazon.com/images/M/MV5BMjA4ODc0ODI0Ml5BMl5BanBnXkFtZTYwOTUzMzQ2._V1_UY317_CR24,0,214,317_AL_.jpg"
Veronica Lake;f;"https://m.media-amazon.com/images/M/MV5BMTQwMjQ0NTQ3NV5BMl5BanBnXkFtZTYwNTI5MzQ2._V1_UY317_CR11,0,214,317_AL_.jpg"
Burt Lancaster;m;"https://m.media-amazon.com/images/M/MV5BMTM0MjM1MTYyOF5BMl5BanBnXkFtZTYwMjExOTE2._V1_UY317_CR11,0,214,317_AL_.jpg"
Bruce Lee;m;"https://m.media-amazon.com/images/M/MV5BMTUwMTg4NDkzMV5BMl5BanBnXkFtZTYwMjU4Nzc2._V1_UY317_CR89,0,214,317_AL_.jpg"
Vivien Leigh;f;"https://m.media-amazon.com/images/M/MV5BMTI2NTkwMTQ5NF5BMl5BanBnXkFtZTYwNDExNjI2._V1_UY317_CR1,0,214,317_AL_.jpg"
Sophia Loren;f;"https://m.media-amazon.com/images/M/MV5BOTczNzg5MzAwMl5BMl5BanBnXkFtZTcwNzE0MjcxNQ@@._V1_UY317_CR8,0,214,317_AL_.jpg"
Peter Lorre;m;"https://m.media-amazon.com/images/M/MV5BMTI2MzM0ODQwOV5BMl5BanBnXkFtZTYwMjYwNjI2._V1_UY317_CR0,0,214,317_AL_.jpg"
Groucho Marx;m;"https://m.media-amazon.com/images/M/MV5BMTk3OTA3NDA0NV5BMl5BanBnXkFtZTYwNzUzMzQ2._V1_UY317_CR22,0,214,317_AL_.jpg"
James Mason;m;"https://m.media-amazon.com/images/M/MV5BMjE0NDQxOTQzNl5BMl5BanBnXkFtZTYwNDAxMDI2._V1_UY317_CR13,0,214,317_AL_.jpg"
Marcello Mastroianni;m;"https://m.media-amazon.com/images/M/MV5BMTkyODczMTM2OV5BMl5BanBnXkFtZTYwMjE2MjI2._V1_UY317_CR17,0,214,317_AL_.jpg"
Robert Mitchum;m;"https://m.media-amazon.com/images/M/MV5BOTI1NDIxOTQyMV5BMl5BanBnXkFtZTYwMDM4MjM2._V1_UY317_CR19,0,214,317_AL_.jpg"
Marilyn Monroe;f;"https://m.media-amazon.com/images/M/MV5BNzQzNDMxMjQxNF5BMl5BanBnXkFtZTYwMTc5NTI2._V1_UY317_CR7,0,214,317_AL_.jpg"
Paul Newman;m;"https://m.media-amazon.com/images/M/MV5BODUwMDYwNDg3N15BMl5BanBnXkFtZTcwODEzNTgxMw@@._V1_UY317_CR22,0,214,317_AL_.jpg"
David Niven;m;"https://m.media-amazon.com/images/M/MV5BNTU3NzU3NjIyNF5BMl5BanBnXkFtZTcwNDUxMTMyNA@@._V1_UY317_CR20,0,214,317_AL_.jpg"
Maureen O'Hara;f;"https://m.media-amazon.com/images/M/MV5BMTI2OTA0ODA4MV5BMl5BanBnXkFtZTYwNjIwNzQ2._V1_UY317_CR5,0,214,317_AL_.jpg"
Laurence Olivier;m;"https://m.media-amazon.com/images/M/MV5BMTkwNjYwNDE5M15BMl5BanBnXkFtZTYwNzg0MDQ2._V1_UY317_CR18,0,214,317_AL_.jpg"
Gregory Peck;m;"https://m.media-amazon.com/images/M/MV5BMjA0ODc0NTE2NF5BMl5BanBnXkFtZTYwNjYyMjQ2._V1_UX214_CR0,0,214,317_AL_.jpg"
Tyrone Power;m;"https://m.media-amazon.com/images/M/MV5BMTMyNTEzOTA2OF5BMl5BanBnXkFtZTYwNDk5MDM2._V1_UY317_CR16,0,214,317_AL_.jpg"
Elvis Presley;m;"https://m.media-amazon.com/images/M/MV5BMTM3OTEzMTI3Nl5BMl5BanBnXkFtZTYwNTg4MDQ2._V1_UY317_CR4,0,214,317_AL_.jpg"
